Id,Label,TradeCluster,PlayerCluster,Out,In,Bal
ATL,ATL,1,4,313.8,191.2,-122.6
BOS,BOS,0,2,137.1,295.2,158.1
BRK,BRK,3,2,220.1,291.5,71.4
CHI,CHI,2,1,259.0,165.5,-93.5
CHO,CHO,4,1,446.9,202.1,-244.8
CLE,CLE,0,2,119.0,234.1,115.1
DAL,DAL,0,0,369.2,566.1,196.9
DEN,DEN,2,0,316.7,262.3,-54.4
DET,DET,1,0,206.4,305.7,99.3
GSW,GSW,2,0,328.8,150.2,-178.6
HOU,HOU,3,0,206.2,239.5,33.3
IND,IND,2,0,150.9,226.3,75.4
LAC,LAC,2,0,102.7,179.6,76.9
LAL,LAL,4,3,176.4,340.3,163.9
MEM,MEM,1,1,199.2,173.5,-25.7
MIA,MIA,4,2,189.2,252.9,63.7
MIL,MIL,3,0,416.3,259.5,-156.8
MIN,MIN,3,0,176.6,174.1,-2.5
NOP,NOP,3,0,9.3,5.1,-4.2
NYK,NYK,2,0,208.1,191.0,-17.1
OKC,OKC,3,5,118.5,251.0,132.5
ORL,ORL,0,0,501.5,223.3,-278.2
PHI,PHI,3,2,162.8,220.5,57.7
PHO,PHO,0,2,490.9,343.0,-147.9
POR,POR,1,4,256.6,277.2,20.6
SAC,SAC,1,0,72.0,188.0,116.0
SAS,SAS,2,0,81.9,66.3,-15.6
TOR,TOR,2,0,362.7,248.2,-114.5
UTA,UTA,0,0,7.1,131.9,124.8
WAS,WAS,1,2,229.5,180.3,-49.2
