Id,Label,TradeCluster,PlayerCluster,Out,In,Bal
ATL,ATL,2,1,226.8,352.8,126.0
BOS,BOS,1,1,239.3,403.7,164.4
BRK,BRK,4,0,332.7,236.2,-96.5
CHI,CHI,2,0,128.3,94.1,-34.2
CLE,CLE,0,5,513.3,205.5,-307.8
DAL,DAL,3,5,166.0,235.4,69.4
DEN,DEN,3,4,340.4,349.3,8.9
DET,DET,0,5,375.3,305.4,-69.9
GSW,GSW,1,4,360.1,171.9,-188.2
HOU,HOU,2,0,83.1,144.5,61.4
IND,IND,3,1,296.7,237.7,-59.0
LAC,LAC,5,5,710.2,196.9,-513.3
LAL,LAL,5,4,330.2,528.8,198.6
MIL,MIL,5,2,377.1,460.3,83.2
NYK,NYK,1,1,166.6,230.8,64.2
OKC,OKC,1,1,179.3,199.0,19.7
PHI,PHI,5,3,74.5,306.0,231.5
PHO,PHO,1,4,120.3,259.3,139.0
POR,POR,3,1,300.4,495.5,195.1
SAC,SAC,4,4,72.3,231.6,159.3
SAS,SAS,2,4,60.7,112.7,52.0
UTA,UTA,5,4,421.3,132.1,-289.2
WAS,WAS,2,4,180.5,165.9,-14.6
