BRK,CHI,0.5
UTA,PHI,1.6
OKC,IND,31.5
CHI,PHI,1.5
LAC,ORL,0.7
ATL,BRK,1.4
POR,BRK,41.3
OKC,GSW,4.7
WAS,ORL,0
ATL,CLE,0.2
CHO,DEN,1.3
MIL,ATL,3.7
DAL,OKC,45.5
CLE,CHO,0.3
DET,CHI,1.5
DET,UTA,6.7
MIN,DET,1.6
LAL,GSW,0
ATL,LAL,1.5
LAC,CLE,27.8
ORL,GSW,7.9
NYK,LAC,12
BRK,CHO,-0.4
BOS,SAC,8.2
CHI,MIA,0
HOU,WAS,0
HOU,LAC,-0.6
SAS,MIL,46.2
LAC,DET,6.3
SAC,BRK,2.3
GSW,OKC,138
MIA,DEN,22.1
HOU,ATL,1.1
WAS,DET,17.9
BOS,POR,1
SAS,NYK,7.9
IND,OKC,56.8
SAC,DET,0.2
OKC,BOS,0
WAS,BRK,2.2
NYK,ATL,2.1
CLE,CHI,13.4
CLE,UTA,1.9
LAC,NYK,22.2
SAS,BRK,0.3
IND,SAC,24.9
OKC,CHI,137.8
SAS,DET,24
GSW,SAC,54.4
MIL,CLE,58.2
SAC,NYK,0
DAL,HOU,0.4
NYK,ORL,0
BOS,OKC,1
IND,MIN,14.6
MIL,BRK,0.1
GSW,POR,-0.1
ATL,LAC,6.5
POR,LAC,8
PHO,CHI,9.3
POR,WAS,-0.6
CHO,PHI,33.5
DEN,SAS,2.7
SAC,MIL,0
MIL,DET,1.7
IND,HOU,-0.2
LAC,WAS,7.2
OKC,CHO,2.4
ATL,MIL,0.6
POR,MIL,0.1
ORL,CHI,43.5
WAS,LAC,2.6
MIL,ORL,1.6
HOU,CLE,4.1
MIN,NYK,3.6
GSW,HOU,30.4
SAC,LAC,5.4
SAC,WAS,16.4
SAS,LAL,22.7
DAL,SAC,18.9
SAS,ORL,2.1
SAC,ATL,6.8
GSW,SAS,0.4
NYK,DET,-0.2
BRK,BOS,2.7
HOU,BRK,13.9
ATL,NYK,32.2
POR,NYK,10.4
CLE,GSW,2.4
