Id,Label,TradeCluster,PlayerCluster,Out,In,Bal
ATL,ATL,2,1,158.1,184.2,26.1
BOS,BOS,2,0,36.3,68.2,31.9
BRK,BRK,2,3,173.7,150.8,-22.9
CHI,CHI,1,1,163.7,265.0,101.3
CHO,CHO,0,4,94.0,51.5,-42.5
CLE,CLE,0,0,278.3,332.3,54.0
DAL,DAL,4,1,257.7,77.3,-180.4
DEN,DEN,2,0,73.0,113.6,40.6
DET,DET,3,0,127.7,150.0,22.3
GSW,GSW,1,1,379.3,75.5,-303.8
HOU,HOU,2,1,46.4,181.3,134.9
IND,IND,4,2,165.7,179.7,14.0
LAC,LAC,4,2,302.2,212.9,-89.3
LAL,LAL,1,5,88.1,77.6,-10.5
MIA,MIA,2,2,154.5,76.9,-77.6
MIL,MIL,3,2,182.8,195.8,13.0
MIN,MIN,3,1,86.0,38.8,-47.2
NYK,NYK,1,3,64.6,220.7,156.1
OKC,OKC,1,5,326.4,493.4,167.0
ORL,ORL,1,1,77.8,74.2,-3.6
PHI,PHI,0,0,404.2,170.7,-233.5
PHO,PHO,0,3,195.5,286.2,90.7
POR,POR,2,3,112.6,160.8,48.2
SAC,SAC,2,2,228.0,206.5,-21.5
SAS,SAS,3,0,174.6,192.3,17.7
UTA,UTA,3,3,98.6,149.7,51.1
WAS,WAS,2,3,101.0,164.9,63.9
