DEN,DAL,70.3
WAS,DAL,0
LAC,DEN,1.3
CHO,PHO,7.3
CHI,NYK,72.8
DET,NYK,4.7
LAC,DAL,36.5
WAS,DEN,31.7
PHI,MIN,0.6
CHI,HOU,20.3
MIL,MIA,-0.1
BRK,MIL,2.2
GSW,BOS,235.4
DAL,DEN,29.9
OKC,PHO,23.1
PHI,POR,0
SAC,DEN,0.1
CLE,SAC,3.6
BRK,SAS,1.4
CLE,WAS,8.5
CLE,LAC,52.8
LAC,IND,0
MIA,CLE,4.8
DET,MIL,25.5
PHI,WAS,52.9
POR,BOS,3.7
PHI,LAC,25.8
BRK,NYK,4.9
WAS,GSW,13.2
PHO,LAL,4
LAC,GSW,22.1
CLE,ATL,0.6
BRK,HOU,6.7
NYK,CHI,28.7
DEN,IND,3
DAL,IND,75
LAL,PHO,0.3
SAC,IND,10.9
PHO,OKC,2.4
DET,SAS,5.6
CHI,SAS,58.8
UTA,SAS,0.2
BOS,UTA,0
HOU,CHI,1.4
SAC,GSW,1.7
IND,CLE,0.1
CHO,IND,0
PHO,DAL,1.8
SAS,POR,33.9
PHO,DEN,0.6
CLE,MIA,0
GSW,CLE,23.4
HOU,SAS,3.7
IND,DET,0.6
SAC,OKC,3.9
GSW,BRK,18.2
MIL,POR,0.1
OKC,DEN,20.3
BRK,PHI,20.1
MIL,MIN,0
WAS,OKC,10.5
BOS,MIL,2.6
SAC,PHO,13.7
NYK,SAS,-0.2
SAS,SAC,0.2
LAC,OKC,80.9
OKC,DAL,1
MIA,GSW,0
PHI,CHI,3.5
DEN,CLE,-0.5
NYK,SAC,26.8
CLE,PHI,5.5
POR,PHO,3.1
ATL,OKC,4.3
HOU,SAC,11.4
DAL,CLE,79
BOS,LAC,7.9
MIL,SAS,26
IND,LAL,0
DAL,BRK,9.2
DAL,DET,17.9
UTA,CHO,7.5
NYK,POR,1.2
SAS,HOU,14.4
CHO,UTA,12.7
DET,DAL,5.1
WAS,HOU,7.7
LAC,HOU,5.3
IND,LAC,0.1
DEN,NYK,0
GSW,WAS,47.4
SAC,HOU,54.5
GSW,LAC,2.1
ATL,SAC,3.6
DEN,MIL,0
HOU,OKC,-0.9
CHI,IND,4.1
OKC,PHI,8.3
GSW,ATL,2.1
BRK,DAL,6.3
NYK,PHO,16
SAC,SAS,0.7
UTA,GSW,17.9
CHI,GSW,0
WAS,SAS,10.3
NYK,OKC,0
IND,ATL,7.5
DAL,MIL,15.9
PHI,IND,7.9
LAL,MIA,8.4
