"(abdulma02,DEN)"
"(abdulma02,MEM)"
"(abdulma02,SAC)"
"(abdulta01,DAL)"
"(abdulta01,DEN)"
"(abdulta01,ORL)"
"(abdulta01,SAC)"
"(abdursh01,ATL)"
"(abdursh01,MEM)"
"(abdursh01,POR)"
"(adamsmi01,CHO)"
"(addisra01,CHO)"
"(alexaco01,CHO)"
"(alexaco01,DEN)"
"(alexaco01,ORL)"
"(alexaco01,SAS)"
"(alexaco02,DAL)"
"(alexaco02,NOP)"
"(alexaco02,WAS)"
"(alexavi01,DET)"
"(allenje01,DEN)"
"(allenje01,IND)"
"(allenje01,MIN)"
"(allenma01,CHO)"
"(allenma01,MIA)"
"(allenra02,MIL)"
"(allenra02,OKC)"
"(allento01,BOS)"
"(alstode01,ATL)"
"(alstode01,PHI)"
"(alstora01,MIA)"
"(alstora01,MIL)"
"(alstora01,TOR)"
"(alumape01,SAC)"
"(amaecjo01,CLE)"
"(amaecjo01,ORL)"
"(amaecjo01,UTA)"
"(amayaas01,MEM)"
"(amayaas01,WAS)"
"(anderch01,DEN)"
"(anderch01,NOP)"
"(anderde01,CLE)"
"(anderde01,LAC)"
"(anderde01,POR)"
"(anderde01,SAS)"
"(andergr01,ATL)"
"(andergr01,SAS)"
"(anderke01,ATL)"
"(anderke01,BOS)"
"(anderke01,BRK)"
"(anderke01,CHO)"
"(anderke01,IND)"
"(anderke01,LAC)"
"(anderke01,NOP)"
"(anderke01,OKC)"
"(anderke01,POR)"
"(anderni01,MEM)"
"(anderni01,ORL)"
"(anderni01,SAC)"
"(andersh01,HOU)"
"(andersh01,MIA)"
"(andersh01,NYK)"
"(andersh01,UTA)"
"(anderwi01,MIA)"
"(anderwi01,NYK)"
"(anderwi01,TOR)"
"(anstech01,CHI)"
"(anstech01,DAL)"
"(anthoca01,DEN)"
"(anthogr01,CHI)"
"(anthogr01,MEM)"
"(anthogr01,MIL)"
"(anthogr01,OKC)"
"(anthogr01,POR)"
"(araujra01,TOR)"
"(archiro01,MEM)"
"(archiro01,ORL)"
"(archiro01,PHO)"
"(archiro01,TOR)"
"(arenagi01,GSW)"
"(arenagi01,WAS)"
"(arizatr01,NYK)"
"(armstbj01,CHI)"
"(armstbj01,CHO)"
"(armstbj01,GSW)"
"(armstbj01,ORL)"
