BRK,CHI,0
BRK,UTA,-0.4
SAS,ATL,1
ATL,DET,6.8
POR,DET,-0.1
BOS,HOU,-0.1
POR,BRK,56
OKC,GSW,2.7
MIL,LAC,41.5
ATL,CLE,5.1
POR,CLE,1
PHO,IND,18.2
LAC,LAL,68.4
DEN,PHO,0.3
DET,UTA,2.7
DAL,PHO,0
LAL,IND,34
HOU,MIL,0
DEN,OKC,28.3
SAS,WAS,0
SAC,LAL,0
PHO,BOS,45.6
ATL,LAL,7.5
POR,LAL,4
WAS,CLE,9.8
LAC,CLE,7.5
NYK,WAS,2.1
NYK,LAC,1.2
LAL,BOS,4.9
HOU,WAS,2.6
HOU,LAC,0.5
SAC,CLE,8.9
LAC,DET,7.7
SAC,BRK,22.1
GSW,OKC,-0.1
IND,PHO,17.4
HOU,ATL,15
WAS,DET,9.7
SAS,NYK,2.5
SAC,DET,0
LAC,BRK,31
OKC,BOS,-0.2
WAS,BRK,1
NYK,ATL,24.1
CLE,CHI,1.2
LAC,NYK,25.7
CHI,DEN,2.2
BRK,IND,12.3
UTA,DEN,40.4
IND,SAC,1.5
UTA,DAL,5.5
CHI,DAL,1.3
BRK,GSW,35.8
WAS,NYK,0
CLE,BOS,6.7
OKC,UTA,0.7
MIL,CLE,28.9
SAC,NYK,6.2
POR,ATL,28.5
DET,GSW,36.7
BOS,OKC,11.5
WAS,MIL,4.1
MIL,BRK,8.9
GSW,POR,3.7
ATL,LAC,6.5
POR,LAC,0
LAC,MIL,178.1
PHO,CHI,0
PHO,UTA,-1
ATL,WAS,72.9
BOS,LAL,1.6
DEN,SAS,0
WAS,SAS,10.3
LAL,CHI,9.4
NYK,OKC,35.8
LAL,UTA,76.9
IND,ATL,7.5
DAL,MIL,15.9
IND,POR,50.3
SAS,CLE,8.2
SAC,MIL,2
BOS,PHO,60.5
MIL,DET,22.4
NYK,CLE,-0.1
IND,HOU,-0.2
PHI,IND,3.1
DEN,SAC,10.8
DET,BOS,21.1
LAC,WAS,22.3
ATL,MIL,5.2
POR,MIL,0
PHI,GSW,-0.2
IND,NYK,17.8
SAS,OKC,0.3
DEN,LAC,2.9
WAS,LAC,1.5
DEN,WAS,2
UTA,BOS,4.8
ATL,SAS,-0.1
POR,SAS,3.6
BOS,CLE,0.6
CLE,DAL,139.7
SAS,LAL,1.3
CLE,DEN,4.5
GSW,NYK,27.1
PHI,DEN,17.9
IND,MIL,10.9
MIL,OKC,0
DAL,POR,91.1
SAC,ATL,0
GSW,SAS,0.2
ATL,HOU,27.3
POR,HOU,4.3
HOU,BRK,12.5
ATL,NYK,18.8
CLE,GSW,4.1
LAC,ATL,2.7
MIL,LAL,158.8
LAC,POR,0
HOU,DET,2.1
CLE,IND,1
WAS,ATL,83.2
BOS,DET,2.6
DEN,POR,148.2
NYK,BRK,5.1
OKC,ATL,0
DET,CLE,34.4
OKC,POR,9.8
NYK,BOS,1
BRK,DET,41
ATL,CHI,27
POR,CHI,6.4
ATL,UTA,13.4
POR,UTA,0
PHO,WAS,0
CHI,CLE,4.9
PHO,LAC,20.9
GSW,PHI,2.5
HOU,BOS,0
MIL,DAL,8.3
LAL,LAC,10.9
SAS,GSW,1.8
IND,PHI,34.6
LAL,SAC,2.1
LAL,ATL,7.6
LAL,POR,59
UTA,DET,0.2
CLE,OKC,0.3
BRK,CLE,4.4
IND,CHI,10
CHI,BRK,0.5
OKC,WAS,8.9
UTA,BRK,3.2
CLE,LAL,89.5
SAS,DEN,0
OKC,LAC,31.9
CLE,PHO,13.7
PHO,POR,0.2
POR,PHI,7.2
GSW,CHI,-0.1
OKC,SAC,0
GSW,UTA,1.2
MIL,IND,6.9
DET,BRK,10
SAC,PHI,0.1
BRK,PHO,7.9
BRK,LAL,10.7
PHO,NYK,6.4
OKC,SAS,6.6
MIL,BOS,3.4
LAC,PHI,106.4
PHI,BRK,22.9
OKC,MIL,2.2
BRK,OKC,11.6
DEN,PHI,55
WAS,PHI,0.8
BOS,DEN,2.5
NYK,GSW,0.1
UTA,PHO,21.5
LAC,CHI,3.9
WAS,CHI,0.7
PHI,CLE,2.9
NYK,IND,50.1
UTA,LAL,159.9
DET,PHO,43.8
DEN,UTA,9.3
CHI,LAL,5.8
LAL,SAS,0.1
CLE,BRK,9.4
SAC,CHI,7.7
SAC,UTA,16.5
OKC,NYK,13.6
BOS,GSW,36.5
DET,OKC,4.7
DAL,CHI,0
DAL,UTA,0.9
CLE,DET,153.2
HOU,IND,1.1
LAL,MIL,101.6
UTA,OKC,13.9
OKC,HOU,0.5
BOS,IND,27.3
PHO,CLE,20.6
CHI,LAC,-0.1
IND,DAL,0
OKC,BRK,3.2
ATL,GSW,0.7
POR,GSW,3.5
DET,SAC,21.2
CHI,SAC,36.4
LAC,BOS,67.1
IND,DEN,83.8
PHI,MIL,0.3
MIL,PHI,87.6
UTA,SAC,30.2
DET,WAS,9.2
DET,LAC,3.7
ATL,IND,5.1
POR,IND,42.5
SAS,CHI,27.1
OKC,DET,45.9
SAS,UTA,2.5
BRK,ATL,22.1
BRK,POR,34
CLE,NYK,9.9
LAL,CLE,21.8
PHI,SAS,2.6
BRK,LAC,0
SAS,PHI,0
POR,DAL,2.2
LAL,BRK,0
CLE,SAS,38.6
BRK,WAS,-0.5
PHO,DET,1.2
BRK,SAC,89.2
POR,DEN,129.8
LAL,DET,1.7
CLE,MIL,8.7
CHI,ATL,0
CHI,POR,21.4
UTA,ATL,111.4
UTA,POR,-0.4
DET,ATL,45.8
OKC,CLE,3.6
DET,POR,22
PHO,BRK,-0.2
DET,HOU,0.8
IND,BOS,13.9
DEN,DAL,70.3
LAC,DEN,4.8
UTA,NYK,7.7
WAS,DEN,2.5
UTA,HOU,1.2
CHI,HOU,14
BRK,MIL,14.7
GSW,BOS,235.4
DAL,DEN,29.9
OKC,PHO,25.8
PHI,POR,0
SAC,DEN,2.2
CLE,SAC,3.6
CLE,WAS,8.5
CLE,LAC,18.6
LAC,IND,24.8
DET,MIL,114
PHI,WAS,-0.4
PHI,LAC,25.4
BRK,NYK,23.6
WAS,GSW,6.1
PHO,LAL,3.6
LAC,GSW,22.2
CLE,ATL,2.1
BRK,HOU,4.2
DEN,IND,3
WAS,IND,0
NYK,UTA,5.8
DAL,IND,5.4
LAL,PHO,-0.3
SAC,IND,1.2
PHO,OKC,2.4
DET,SAS,5.6
CHI,SAS,40.2
BOS,UTA,0.8
HOU,CHI,0.9
HOU,UTA,2.8
IND,CLE,0.1
PHO,DAL,1.8
SAS,POR,1
PHO,DEN,0.6
LAL,DEN,0.5
MIL,SAC,10.4
GSW,CLE,29.8
BOS,NYK,71.5
LAC,PHO,22.7
CHI,UTA,0
UTA,CHI,-0.1
DEN,LAL,0.3
HOU,SAS,3.7
IND,DET,0.6
SAC,OKC,3.9
GSW,BRK,16.4
WAS,PHO,29.8
OKC,DEN,24.1
BRK,PHI,11.8
WAS,OKC,13.3
BOS,MIL,2.6
NYK,SAS,-0.2
GSW,DET,-0.1
SAS,SAC,0.6
LAC,OKC,44.5
IND,BRK,25
DEN,CLE,-0.5
NYK,SAC,25.6
CLE,PHI,0
POR,PHO,0.2
