Target,Source,Weight
OKC,DEN,3.8
CLE,MEM,2.9
BRK,PHI,8.7
MIL,MIN,19
WAS,OKC,3.9
MIL,NOP,0.7
TOR,CLE,2.1
NYK,SAS,5.3
GSW,DET,2
LAC,OKC,12.7
OKC,DAL,5.4
PHI,CHI,3.4
PHI,UTA,10.1
MIA,IND,0
BRK,MEM,0.1
CLE,PHI,8.4
ATL,PHO,25.2
MIA,TOR,2.9
MEM,BOS,25
TOR,LAL,13.7
MIL,HOU,5.1
HOU,SAC,14.3
DET,MIA,1.1
NOP,OKC,0.2
MIL,SAS,14.3
ORL,DEN,1.3
NYK,MIN,7.6
DAL,BRK,18.4
TOR,ORL,49.5
HOU,POR,37.4
ORL,DAL,-0.1
MIN,OKC,0.2
BOS,ATL,0.5
DEN,DET,4.5
DAL,DET,3.3
MIN,PHO,0
HOU,NOP,2.1
HOU,MIN,0.9
DEN,BRK,0.1
NYK,POR,4
SAS,HOU,30.4
NOP,PHO,17.1
CHO,CHI,0
POR,MIN,6.4
DET,DAL,3.3
ORL,MEM,33.7
DET,DEN,45
DEN,NYK,0.6
DAL,NYK,6.1
MIA,CHO,28.6
ATL,POR,14.5
SAC,HOU,5.5
MIN,SAC,1
ATL,SAC,0.8
POR,SAC,3.1
MIN,POR,37.5
DEN,MIL,9.7
HOU,OKC,0
BRK,DEN,23.9
CHI,IND,35.6
OKC,PHI,5.8
GSW,ATL,10.7
BRK,DAL,32.3
NYK,PHO,8.1
SAC,SAS,6.7
PHI,BOS,0
UTA,GSW,1.2
BOS,LAL,15.8
ORL,MIA,0
NOP,MIN,0
NYK,OKC,2.2
HOU,PHO,0.1
IND,ATL,7
TOR,LAC,0
DAL,MIL,0.4
MIN,NOP,1.1
CHI,TOR,32.5
UTA,TOR,4
MEM,UTA,1.3
LAL,MIA,21.1
PHI,GSW,3.5
SAS,OKC,-0.5
DEN,LAC,9.9
DEN,WAS,5.5
UTA,BOS,-0.1
ATL,SAS,0
POR,SAS,11.1
DAL,WAS,74.8
BOS,CLE,5.1
NOP,HOU,10.7
DAL,LAC,3.3
TOR,MIL,19.2
SAS,PHO,51.3
MIN,HOU,0.5
OKC,MEM,2.5
PHO,MIA,5.1
GSW,NYK,7.5
PHI,TOR,1.5
DAL,ATL,4.5
PHO,MEM,8
WAS,MIN,21.2
MIL,OKC,54.6
WAS,NOP,1.1
SAC,POR,1.7
ATL,HOU,5.2
POR,HOU,2
LAC,MIN,6.3
GSW,MIL,4.4
LAC,POR,3.2
LAL,MEM,69.6
SAC,MIN,0.5
BOS,DET,1.4
TOR,NYK,13
MIN,PHI,6.1
NOP,PHI,0.9
CHI,CLE,11.9
MIL,DAL,4.4
CHO,ATL,1
TOR,CHI,26.6
OKC,NOP,0.1
TOR,UTA,0.1
MEM,WAS,1.9
MIL,DEN,2.9
MEM,LAC,0
OKC,MIN,1.9
CHO,LAC,5
PHO,NOP,1.7
UTA,DET,1.9
CLE,OKC,2.3
DAL,CHO,0.8
WAS,MEM,1.2
PHO,MIN,0
CHO,WAS,2.9
ORL,HOU,45.2
LAC,MEM,51
MEM,ATL,23.6
IND,CHI,8.6
PHI,ORL,0
DEN,CHO,-0.1
CLE,PHO,0
PHO,POR,16.6
ATL,PHI,15
POR,PHI,0
GSW,CHI,0.1
OKC,SAC,-0.1
GSW,UTA,17.4
SAC,MEM,18.4
PHI,DET,-0.1
MIN,MIA,36.3
PHO,HOU,0
SAC,PHI,5.8
NYK,DAL,0.3
BRK,PHO,20.2
ATL,MEM,71.3
POR,MEM,12.8
NYK,DEN,89.8
ORL,NOP,0.1
NOP,MIA,-0.1
OKC,SAS,5.5
CHO,MIL,8.7
UTA,ORL,1.8
HOU,DAL,11.1
LAC,PHI,-0.1
PHI,BRK,1.4
MEM,NYK,9.3
BRK,OKC,0
HOU,DEN,0
BOS,TOR,0.2
DEN,CHI,2.1
PHI,CLE,30
DET,PHO,0.8
DEN,UTA,0
GSW,CHO,15.3
ORL,SAC,3
MEM,MIL,0
BOS,GSW,5.8
NOP,MEM,0
DET,OKC,1.3
PHO,SAS,20.6
DAL,UTA,0
MIN,MEM,14.8
OKC,HOU,15.1
POR,MIA,26.1
UTA,LAC,-0.4
ORL,PHO,76.4
CHI,LAC,68.3
DEN,BOS,26.6
CHO,DET,1.7
MIA,LAL,69.1
DET,SAC,-0.6
HOU,MIA,0.6
BRK,NOP,3.7
MEM,CLE,0
NOP,DAL,0.9
MIN,DEN,38
CHO,BRK,0.1
TOR,GSW,1.3
BRK,POR,1.6
DAL,BOS,29.7
MIN,DAL,0.3
ORL,OKC,0
TOR,IND,40.6
IND,GSW,17.9
NYK,MEM,0.3
PHI,NYK,3.9
SAS,PHI,5.7
GSW,TOR,1.2
ATL,DAL,63.6
POR,DAL,0
DET,MIN,0.3
CHO,CLE,6.3
POR,DEN,13.4
MEM,BRK,0.4
HOU,MEM,35.3
IND,TOR,1.3
GSW,IND,46.2
MIA,ORL,0
DET,HOU,9.6
WAS,DAL,45.4
LAC,DEN,0
CHI,NYK,40.7
CHO,LAL,14.3
MIA,DET,0
LAC,DAL,0
WAS,DEN,0.8
MEM,ORL,6.1
HOU,PHI,12.5
PHI,ATL,18.8
OKC,PHO,0
SAS,MEM,0
MIA,CLE,18.1
DEN,GSW,-0.3
CLE,POR,6.1
DAL,TOR,0.3
BRK,HOU,6.3
DAL,IND,8.6
CHO,ORL,0.2
CLE,NOP,0
MEM,LAL,59.7
DEN,TOR,10.8
MIL,MEM,0
PHO,OKC,50.6
DET,SAS,-0.2
DAL,GSW,1.7
SAS,ATL,0
ATL,DET,37.3
LAC,ORL,0.8
HOU,NYK,5
WAS,ORL,0
ATL,CLE,-0.3
CHO,DEN,0
