Target,Source,Weight
DEN,DET,1.3
DAL,DET,3.3
HOU,NOP,1.4
DEN,BRK,0.1
NYK,POR,0
CHO,CHI,0
ATL,MIN,1
POR,MIN,2.5
DET,DAL,3.3
ORL,MEM,34.5
DET,DEN,2.2
DEN,NYK,0.8
DAL,NYK,6.1
MIA,CHO,71.2
ATL,POR,33.1
PHO,PHI,0.1
ATL,SAC,2.7
MIN,POR,13.2
DEN,MIL,23.7
BRK,DEN,23.9
CHI,IND,35.6
OKC,PHI,40.4
GSW,ATL,31.7
BRK,DAL,36.2
NYK,PHO,1.8
SAC,SAS,6.7
PHI,BOS,0
UTA,GSW,0.8
CHI,GSW,2.7
BOS,LAL,17.6
NYK,OKC,2
HOU,PHO,6.8
IND,ATL,6.4
DAL,MIL,3.5
CHI,TOR,32.5
WAS,SAC,45.5
LAL,MIA,21.1
PHI,GSW,5.9
DEN,LAC,22.8
MIA,UTA,0.6
DEN,WAS,8.2
UTA,BOS,-0.3
ATL,SAS,0
POR,SAS,11.1
DAL,WAS,74.8
BOS,CLE,33.5
NOP,HOU,8
DAL,LAC,3.3
TOR,MIL,0.1
SAS,PHO,28.5
CLE,DEN,0
OKC,MEM,0
PHO,MIA,0.8
GSW,NYK,20.8
PHI,TOR,-1.2
DAL,ATL,2.3
PHO,MEM,8
MIL,OKC,75.3
ATL,HOU,5.2
POR,HOU,59.8
LAC,MIN,1.8
GSW,MIL,4.4
ORL,PHI,1.1
LAL,MEM,4.7
DEN,ATL,0.9
BOS,DET,1.4
WAS,POR,62
TOR,NYK,36.1
MIL,PHO,0
MIN,PHI,5.8
SAC,MIA,4.1
CHI,CLE,3.8
LAC,MIA,0.7
MIL,DAL,200.3
CHO,ATL,1
TOR,CHI,26.6
OKC,NOP,0.1
MEM,WAS,1.9
MIL,DEN,8.9
WAS,MIA,4.1
CHO,LAC,5
WAS,MEM,-0.4
CHO,WAS,2.9
ORL,HOU,45.4
MEM,ATL,23.6
MIA,NYK,0
IND,CHI,8.6
PHI,ORL,0.2
DEN,CHO,1.9
SAS,DAL,0
CLE,PHO,11.8
ATL,PHI,17.3
GSW,CHI,4.1
OKC,SAC,3.3
GSW,UTA,14.1
SAC,MEM,18.1
PHI,DET,29.1
PHO,HOU,26.7
NYK,DAL,0.3
BRK,PHO,20.2
ATL,MEM,71.3
POR,MEM,4.1
NYK,DEN,87
ORL,NOP,0.1
CHO,MIL,8.7
UTA,ORL,1.9
HOU,DAL,14.1
LAC,PHI,-0.1
PHI,BRK,52.8
MEM,NYK,9.2
BRK,OKC,0.5
HOU,DEN,0
CHO,NYK,28.6
BOS,TOR,7.5
PHI,CLE,14
DET,PHO,0.8
DEN,UTA,0
MIA,WAS,0
GSW,CHO,3.6
MIA,LAC,1.5
ORL,SAC,2.7
MEM,MIL,2.2
BOS,GSW,5.8
PHO,SAS,4.2
DAL,CHI,1.9
DAL,UTA,0
MIN,MEM,0.8
POR,MIA,26.1
ORL,PHO,91
CHI,LAC,68.3
DEN,BOS,35.1
MIA,LAL,69.1
DET,SAC,-0.6
BRK,MIN,40.9
PHI,MIL,25.7
MIL,PHI,13.1
MEM,CLE,0
NOP,DAL,0.9
CHO,BRK,23.3
TOR,GSW,33.4
BRK,POR,1.6
DAL,BOS,65.6
ORL,OKC,6.1
