Target,Source,Weight
SAC,ORL,2
SAS,ATL,0
ATL,DET,47.3
POR,DET,37.4
UTA,PHI,0.4
CHI,PHI,4.6
LAC,ORL,0.8
POR,BRK,0.3
HOU,NYK,5.3
WAS,ORL,5.6
MIL,WAS,0.6
PHO,GSW,1.4
NYK,MIL,3.8
ATL,CLE,-0.3
POR,CLE,6.4
CHO,DEN,4.3
MIN,BRK,19.4
LAL,TOR,-1.1
MIL,ATL,2.9
DAL,OKC,4.5
CLE,CHO,3.7
DEN,PHO,10
DAL,PHO,132.8
HOU,MIL,18.2
DEN,OKC,67.3
PHO,BOS,7
WAS,CLE,2.4
LAC,CLE,9
ORL,GSW,2.7
NOP,ORL,0.2
BRK,CHO,4
BOS,SAC,6.9
UTA,MIA,0
CHI,MIA,0.9
LAL,BOS,73.5
ORL,TOR,-0.2
MIL,NYK,5.5
MIA,DAL,4.2
MIA,DEN,9.9
HOU,ATL,9.3
WAS,DET,54.4
SAS,NYK,5.1
SAC,DET,17.4
LAC,BRK,6.9
OKC,BOS,6.2
NYK,ATL,0
ATL,ORL,4
GSW,PHO,1.7
CLE,CHI,6.4
BRK,IND,1.6
UTA,DEN,0
DEN,HOU,4.4
IND,SAC,39.5
UTA,DAL,4.3
CHI,DAL,0
HOU,ORL,15.3
TOR,POR,42.8
CLE,BOS,30.9
OKC,CHI,2.6
SAS,DET,0
MIN,LAC,0.4
ORL,CHO,1.2
MIL,CLE,3.8
DAL,HOU,-0.2
POR,ATL,4.8
BRK,TOR,7.3
DET,GSW,3
BOS,OKC,10.8
MIN,ATL,21.9
WAS,MIL,-0.1
MIL,BRK,0.6
GSW,POR,1.6
ATL,LAC,18.3
POR,LAC,0
PHO,CHI,65.6
PHO,UTA,41.7
POR,WAS,29.9
DAL,SAS,0
CHO,PHI,11.2
TOR,SAC,32.8
DET,TOR,13.1
GSW,MIN,21.3
IND,POR,25.9
BOS,PHO,19.9
MIL,DET,0.8
DEN,SAC,2.4
DET,BOS,13.8
LAC,WAS,3.2
OKC,CHO,2
ATL,MIL,12.9
POR,MIL,0.4
ORL,UTA,73.8
WAS,LAC,3
MIL,ORL,11.8
SAC,WAS,13.8
PHI,DEN,1.1
DEN,MIN,9.1
DAL,POR,4.3
CLE,TOR,0.9
SAC,ATL,2.2
LAL,CHO,50.5
HOU,BRK,69.1
ATL,NYK,5.8
POR,NYK,3.6
CLE,GSW,6
LAC,ATL,6.2
MIL,LAL,2
CHO,MIA,123.5
TOR,HOU,2.3
IND,SAS,0.4
MIN,MIL,70.7
DAL,NOP,3.5
PHO,CHO,2.3
DAL,MIN,6.1
OKC,ATL,-0.2
DAL,MIA,15.5
PHI,PHO,0.2
NYK,BOS,13.6
ATL,CHI,-0.6
POR,CHI,1.2
PHO,WAS,0.6
ORL,MIL,1.6
CLE,ORL,19.2
PHO,LAC,0
GSW,PHI,7.4
SAS,IND,0
MEM,SAC,44.1
PHI,OKC,4
DEN,MIA,5.6
MIL,TOR,1.7
TOR,PHI,2.5
MEM,POR,1.4
OKC,WAS,1.5
MEM,MIN,17.5
LAC,CHO,28.6
MIL,GSW,0
OKC,LAC,0.7
WAS,CHO,0
BRK,LAL,0.4
GSW,MIA,48
PHO,NYK,28.8
BOS,DAL,7.3
MEM,HOU,49.1
ORL,ATL,0
LAL,NYK,5.5
MIL,BOS,6.3
ATL,CHO,0
OKC,MIL,16.3
DET,ORL,17.5
BOS,DEN,5.4
NYK,GSW,13.1
PHO,MIL,6.3
HOU,TOR,8.5
ORL,WAS,36.2
ORL,LAC,48.1
UTA,PHO,0
MIA,SAC,8.7
LAC,CHI,21.3
CHI,PHO,12.1
MEM,SAS,17.9
TOR,MIA,0
BRK,ORL,3.4
SAC,UTA,0
OKC,NYK,0
NYK,TOR,33.2
LAL,MIL,0
CHI,OKC,38.3
PHO,CLE,45.8
OKC,BRK,1.8
ATL,GSW,6.7
POR,GSW,0.9
IND,DEN,4.7
MIA,PHO,0
DET,WAS,6.7
ATL,IND,26.1
POR,IND,46.5
SAS,CHI,19.1
POR,TOR,20.7
GSW,DAL,42.7
SAC,BOS,0.3
TOR,IND,3.8
PHI,SAS,1.2
IND,GSW,42.4
BRK,LAC,0.3
NYK,MEM,0.3
PHI,NYK,4.9
SAS,PHI,5.7
GSW,TOR,53.2
ATL,DAL,63.6
POR,DAL,0.9
LAL,BRK,0.4
PHI,HOU,3.5
PHO,DET,8.7
MIN,TOR,30.4
CHO,CLE,6.3
ATL,DEN,-0.6
HOU,MEM,17.4
TOR,DAL,0
CLE,MIL,11.7
IND,TOR,22.8
CHI,ATL,0
BOS,MEM,7.4
MIL,CHI,-0.1
MEM,DET,-0.3
MIN,GSW,14
DET,ATL,57.7
OKC,CLE,17.1
GSW,IND,60.9
DET,POR,28.7
TOR,DEN,29.1
PHO,BRK,56.6
NYK,CHO,29.5
ORL,DET,76.8
DEN,DAL,14
WAS,DAL,45.4
LAC,DEN,24.3
CHI,NYK,20.1
CHO,LAL,192.1
BOS,PHI,0
MIA,DET,0
LAC,DAL,0
WAS,DEN,2.5
UTA,HOU,0
MEM,ORL,6.1
HOU,PHI,12.5
CHI,HOU,20.3
BRK,MIL,36.7
PHI,ATL,18.8
DAL,DEN,10.6
SAC,DEN,-0.4
ORL,BRK,0.5
CHO,OKC,35
CLE,WAS,0
CLE,LAC,7.9
SAS,MEM,0.7
NYK,PHI,0
OKC,LAL,8.9
PHO,ORL,18.4
MIA,CLE,18.2
DET,MIL,4.6
PHI,LAC,0
MEM,OKC,1.5
PHO,LAL,30.4
OKC,ORL,2.6
MIL,CHO,1.8
ORL,CLE,72.1
CLE,ATL,1.7
CLE,POR,6.1
DAL,TOR,6.4
BRK,HOU,6.3
SAC,TOR,0.8
NYK,CHI,4.4
DEN,IND,46.4
CHO,ORL,0.2
LAL,PHO,4.3
TOR,BOS,18.2
MEM,LAL,0.1
DEN,TOR,10.8
SAC,IND,5.4
MIL,MEM,2.3
DET,SAS,-0.2
DAL,GSW,1.7
MEM,PHO,-0.1
CHI,SAS,19.8
BOS,UTA,0.7
HOU,CHI,4.4
HOU,UTA,0.2
NYK,HOU,6.3
DAL,ORL,2.3
PHO,DAL,125.7
SAS,POR,22.8
PHO,DEN,11.8
CLE,MIA,1.4
TOR,BRK,43.6
CHO,GSW,4.8
LAL,DEN,16.4
PHI,CHO,1.8
DEN,ORL,51
BOS,NYK,4.8
DET,PHI,53.3
LAL,DAL,1.1
TOR,DET,26.1
DEN,LAL,1
SAC,OKC,1.6
MIL,POR,10
WAS,PHO,1.2
OKC,DEN,14.6
CLE,MEM,2.9
BRK,PHI,36.8
MIL,MIN,66.3
WAS,OKC,3.9
TOR,CLE,2.1
BOS,MIL,8.1
NYK,SAS,5.2
GSW,DET,2
DAL,LAL,5
LAC,OKC,0
OKC,DAL,0.6
IND,BRK,0.2
MIA,GSW,4.9
PHI,CHI,0
DEN,CLE,-0.1
PHI,UTA,0.8
CLE,PHI,8.4
GSW,ORL,11.3
MIA,TOR,0.9
MEM,BOS,25
TOR,LAL,13.7
MIL,HOU,2.4
DET,MIA,1.1
DET,MEM,1.4
NOP,OKC,0.2
ORL,DEN,6.6
NYK,MIN,7.6
DAL,BRK,15.9
TOR,ORL,49.5
HOU,POR,23.7
ORL,DAL,1.2
BOS,ATL,0
