Id,Label,TradeCluster,PlayerCluster,Out,In,Bal
ATL,ATL,2,2,92.0,221.5,129.5
BOS,BOS,1,2,76.2,334.8,258.6
BRK,BRK,3,4,256.0,198.8,-57.2
CHI,CHI,1,4,265.0,335.2,70.2
CHO,CHO,2,3,21.4,15.8,-5.6
CLE,CLE,0,2,738.8,437.8,-301.0
DAL,DAL,3,4,376.9,283.5,-93.4
DEN,DEN,3,2,258.3,350.8,92.5
DET,DET,0,2,257.6,306.0,48.4
GSW,GSW,1,4,532.4,138.5,-393.9
HOU,HOU,1,2,40.5,141.9,101.4
IND,IND,3,4,207.5,206.8,-0.7
LAC,LAC,0,0,434.6,201.0,-233.6
LAL,LAL,0,5,121.9,197.0,75.1
MIA,MIA,0,0,20.7,17.7,-3.0
MIL,MIL,0,1,171.7,275.1,103.4
MIN,MIN,4,4,9.7,0.6,-9.1
NYK,NYK,1,3,132.7,217.6,84.9
OKC,OKC,1,2,383.3,427.5,44.2
ORL,ORL,1,0,43.5,-0.2,-43.7
PHI,PHI,4,2,268.3,136.3,-132.0
PHO,PHO,0,4,214.4,337.9,123.5
POR,POR,3,2,274.1,521.5,247.4
SAC,SAC,1,2,170.2,178.0,7.8
SAS,SAS,0,2,177.2,196.8,19.6
UTA,UTA,2,4,209.7,46.8,-162.9
WAS,WAS,4,4,132.8,162.4,29.6
