DET,POR,28.7
TOR,DEN,27.8
NYK,CHO,29.5
SAS,CHO,8.1
DEN,DAL,4.2
LAC,DEN,27.2
CHO,LAL,184.5
MIA,DET,27.2
WAS,DEN,1.1
PHI,MIN,4.5
MEM,ORL,0
HOU,PHI,0
CHI,HOU,4.9
BRK,MIL,40.5
PHI,ATL,0
DAL,DEN,0
OKC,PHO,4.2
SAC,DEN,-0.4
ORL,BRK,5.2
CHO,OKC,46.2
SAC,DAL,11.6
CLE,WAS,0
CLE,LAC,3.3
SAS,MEM,0.7
NYK,PHI,0
OKC,LAL,27.9
PHO,ORL,17.6
LAC,IND,31.8
MIA,CLE,0.7
DET,MIL,0.1
PHI,LAC,0
DEN,GSW,0.5
WAS,GSW,2.3
PHO,LAL,45.7
OKC,ORL,2.6
MIL,CHO,0.7
ORL,CLE,0.3
LAC,GSW,-0.2
DAL,TOR,6.4
DEN,IND,46.4
UTA,MIL,32.2
LAL,OKC,36.8
LAL,PHO,11.9
TOR,BOS,18.2
MEM,LAL,0.1
DEN,TOR,0
MIL,MEM,2.3
PHO,OKC,15.6
DET,SAS,40.9
CHI,SAS,19.8
BOS,UTA,0.7
HOU,CHI,0
SAC,GSW,13.6
DAL,ORL,2.3
PHO,DAL,125.7
PHO,DEN,11.8
CHO,GSW,4.8
LAL,DEN,20.3
GSW,CLE,25.7
PHI,CHO,20.9
DEN,ORL,7.4
BOS,NYK,4.8
DET,PHI,51.2
LAL,DAL,1.1
MIA,BOS,10.1
DEN,LAL,1
HOU,SAS,1
SAC,OKC,19.1
MIL,POR,13.1
OKC,DEN,17.5
BRK,PHI,28.3
MIL,MIN,54.6
BOS,MIL,12.7
NYK,SAS,18.7
SAS,SAC,0.4
DAL,LAL,5
LAC,OKC,4.1
IND,BRK,0.2
MIA,GSW,7.9
DEN,CLE,-0.1
PHI,UTA,55.8
GSW,ORL,79.9
MEM,BOS,0
DET,MIA,11
DET,MEM,1.4
MIL,SAS,17.5
ORL,DEN,12.4
NYK,MIN,0
DAL,BRK,15.9
HOU,POR,23.7
ORL,DAL,1.3
MIN,OKC,0.2
DEN,DET,6.8
HOU,MIN,-0.3
GSW,LAL,4.6
DEN,BRK,4.9
NYK,POR,0
SAS,HOU,0
ATL,MIN,1
POR,MIN,2.5
ORL,MEM,1.4
DET,DEN,2.4
IND,LAC,41.1
DAL,NYK,21.9
GSW,WAS,23.5
MIA,CHO,43.1
ATL,POR,18.6
GSW,LAC,2.8
PHO,PHI,16.3
ATL,SAC,40.8
POR,SAC,3
MIN,POR,13.2
DEN,MIL,32.8
BRK,DEN,26.8
OKC,PHI,34.6
GSW,ATL,33.6
BRK,DAL,36.2
NYK,PHO,1.3
SAC,SAS,10.7
UTA,GSW,0.2
CHI,GSW,5.4
BOS,LAL,1.8
HOU,PHO,6.8
DAL,MIL,3.5
WAS,SAC,45.8
PHI,GSW,18
DEN,LAC,22.8
MIA,UTA,0.6
DEN,WAS,16.6
UTA,BOS,-0.2
BOS,CLE,29.3
TOR,MIL,0.1
SAS,PHO,-0.1
MIN,HOU,8.5
CLE,DEN,0
PHO,MIA,0.8
GSW,NYK,20.8
PHI,TOR,-1.2
MIL,OKC,42.5
SAC,POR,11.4
ATL,HOU,37.3
POR,HOU,85.4
LAC,MIN,1.8
ORL,PHI,1.1
LAL,MEM,4.7
DEN,ATL,3.8
WAS,POR,73.9
TOR,NYK,28.8
MIL,PHO,0
MIN,PHI,-0.5
SAC,MIA,24
LAC,MIA,0.7
MIL,DAL,200.3
